"Date","AY","Fund_Code","Fund_Title","Fund_Title_Long","Fall_Original_Offers_Count","Fall_Original_Offers_Amount","Fall_Current_Offered_Count","Fall_Current_Offered_Amount","Fall_Offered_Count","Fall_Offered_Amount","Fall_Accepted_Count","Fall_Accepted_Amount","Fall_Original_Declined_Count","Fall_Declined_Amount","Fall_Cancelled_Count","Fall_Cancelled_Amount","Fall_Authorized_Count","Fall_Authorized_Amount","Fall_Paid_Count","Fall_Paid_Amount","Spring_Original_Offers_Count","Spring_Original_Offers_Amount","Spring_Current_Offered_Count","Spring_Current_Offered_Amount","Spring_Offered_Count","Spring_Offered_Amount","Spring_Accepted_Count","Spring_Accepted_Amount","Spring_Original_Declined_Count","Spring_Declined_Amount","Spring_Cancelled_Count","Spring_Cancelled_Amount","Spring_Authorized_Count","Spring_Authorized_Amount","Spring_Paid_Count","Spring_Paid_Amount","Summer_Original_Offers_Count","Summer_Original_Offers_Amount","Summer_Current_Offered_Count","Summer_Current_Offered_Amount","Summer_Offered_Count","Summer_Offered_Amount","Summer_Accepted_Count","Summer_Accepted_Amount","Summer_Original_Declined_Count","Summer_Declined_Amount","Summer_Cancelled_Count","Summer_Cancelled_Amount","Summer_Authorized_Count","Summer_Authorized_Amount","Summer_Paid_Count","Summer_Paid_Amount","Fund_Type","Fund_Source","Federal_Fund_ID","Fund_Cross_Reference","TOT_CURRENT_OFFERED_COUNT","TOT_CURRENT_OFFERED_AMOUNT","TOT_OFFERED_COUNT","TOT_OFFERED_AMOUNT","TOT_ACCEPTED_COUNT","TOT_ACCEPTED_AMOUNT","TOT_ORIGINAL_DECLINED_COUNT","TOT_DECLINED_AMOUNT","TOT_CANCELLED_COUNT","TOT_CANCELLED_AMOUNT","TOT_AUTHORIZED_COUNT","TOT_AUTHORIZED_AMOUNT","TOT_PAID_COUNT","TOT_PAID_AMOUNT"
"15-JUN-20","1819","05PELL","Federal Pell Grant","Federal Pell Grant",6655,15998557,6655,14706911,0,0,6655,14706911,0,0,0,0,0,0,6191,14706911,6861,16443141,6861,14130719,0,0,6861,14130719,0,0,0,0,0,0,5994,14130719,2308,279400,2308,2625001,0,0,2308,2625001,0,0,0,0,0,0,1991,2625001,"Grant","Federal Funding Source","PELL","",15824,31462631,0,0,15824,31462631,0,0,0,0,0,0,14176,31462631
"15-JUN-20","1920","05PELL","Federal Pell Grant","Federal Pell Grant",6450,15868379,6450,13959026,0,0,6450,13959026,0,0,0,0,0,0,5807,13957328,6621,16317894,6621,13957062,0,0,6621,13957062,0,0,0,0,0,0,5576,13331158,3,1623,3,2845,0,0,3,2845,0,0,0,0,0,0,0,0,"Grant","Federal Funding Source","PELL","",13074,27918933,0,0,13074,27918933,0,0,0,0,0,0,11383,27288486
"15-JUN-20","2021","05PELL","Federal Pell Grant","Federal Pell Grant",274,680864,274,655259,0,0,274,655259,0,0,0,0,0,0,0,0,274,680590,274,654995,0,0,274,654995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Grant","Federal Funding Source","PELL","",548,1310254,0,0,548,1310254,0,0,0,0,0,0,0,0
"15-JUN-20","1920","06IRAQ","Iraqi/Afghan Svc Grant","Iraqi/Afghan Svc Grant",1,2905,1,2905,0,0,1,2905,0,0,0,0,0,0,1,2905,1,2905,1,2905,0,0,1,2905,0,0,0,0,0,0,1,2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Grant","Federal Funding Source","GTIV","",2,5810,0,0,2,5810,0,0,0,0,0,0,2,5810
"15-JUN-20","1819","10ZELL","Zell Miller Scholarship","Zell Miller Scholarship",13703,65243028,11671,54407662.6,2032,0,11671,54407662.6,0,0,2032,9594000,0,0,11493,54384006.36,13707,64840674,11687,52990750.04,2020,0,11687,52990750.04,0,0,2020,9630270,0,0,11238,52960367.86,5141,8997138,5093,7719769.14,48,0,5093,7719769.14,0,0,48,73788,0,0,4506,7714264.58,"Outside Scholarship","State Funding Source","","",28451,115118181.78,4100,0,28451,115118181.78,0,0,4100,19298058,0,0,27237,115058638.8
"15-JUN-20","1920","10ZELL","Zell Miller Scholarship","Zell Miller Scholarship",14700,70921528,12797,60262901.55,1903,0,12797,60262901.55,0,0,1903,9278339,0,0,12420,60233739.55,14595,70100428,12696,58549414,1899,0,12696,58549414,0,0,1899,9295010,0,0,12083,58413805,19,20310,19,57421,0,0,19,57421,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",25512,118869736.55,3802,0,25512,118869736.55,0,0,3802,18573349,0,0,24503,118647544.55
"15-JUN-20","2021","10ZELL","Zell Miller Scholarship","Zell Miller Scholarship",5,24475,5,24475,0,0,5,24475,0,0,0,0,0,0,0,0,5,24475,5,24475,0,0,5,24475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",10,48950,0,0,10,48950,0,0,0,0,0,0,0,0
"15-JUN-20","1819","10ZRTR","Zell Miller Scholarship","Zell Miller Scholarship",4,13359,0,0,4,0,0,0,0,0,4,13359,0,0,2,0,3,11940,0,0,3,0,0,0,0,0,3,11940,0,0,1,0,10,46281,9,49638,1,0,9,49638,0,0,1,2838,0,0,10,49638,"Outside Scholarship","State Funding Source","","",9,49638,8,0,9,49638,0,0,8,28137,0,0,13,49638
"15-JUN-20","1819","15HOPE","HOPE Scholarship","HOPE Scholarship",11479,39942007,10869,34344311.04,610,0,10869,34344311.04,0,0,610,2015264.08,0,0,10775,34334639.04,11699,40096571,11263,33603070.2,436,0,11263,33603070.2,0,0,436,1472802,0,0,10550,33592654.2,5551,7745097,5438,6349670.88,113,0,5438,6349670.88,0,0,113,167619,0,0,4809,6347982.88,"Outside Scholarship","State Funding Source","","",27570,74297052.12,1159,0,27570,74297052.12,0,0,1159,3655685.08,0,0,26134,74275276.12
"15-JUN-20","1920","15HOPE","HOPE Scholarship","HOPE Scholarship",10585,37800576,10074,32719388.72,511,0,10074,32719388.72,0,0,511,1814704,2,4352,9979,32714055.72,10528,37221664,10162,31309364,366,0,10162,31309364,0,0,366,1359400,0,0,9574,31212317,9,14880,9,4864,0,0,9,4864,0,0,0,0,0,0,0,0,"Outside Scholarship","State Funding Source","","",20245,64033616.72,877,0,20245,64033616.72,0,0,877,3174104,2,4352,19553,63926372.72
